listing_id,date,available,price
241032,2016-01-04,t,$85.00
241032,2016-01-05,t,$85.00
241032,2016-01-06,f,
241032,2016-01-07,f,
241032,2016-01-08,f,
241032,2016-01-09,f,
241032,2016-01-10,f,
241032,2016-01-11,f,
241032,2016-01-12,f,
241032,2016-01-13,t,$85.00
241032,2016-01-14,t,$85.00
241032,2016-01-15,f,
241032,2016-01-16,f,
241032,2016-01-17,f,
241032,2016-01-18,t,$85.00
241032,2016-01-19,t,$85.00
241032,2016-01-20,t,$85.00
241032,2016-01-21,f,
241032,2016-01-22,f,
241032,2016-01-23,f,
241032,2016-01-24,t,$85.00
241032,2016-01-25,t,$85.00
241032,2016-01-26,t,$85.00
241032,2016-01-27,t,$85.00
241032,2016-01-28,t,$85.00
241032,2016-01-29,f,
241032,2016-01-30,f,
241032,2016-01-31,f,
241032,2016-02-01,t,$85.00
241032,2016-02-02,t,$85.00
241032,2016-02-03,t,$85.00
241032,2016-02-04,t,$85.00
241032,2016-02-05,t,$85.00
241032,2016-02-06,t,$85.00
241032,2016-02-07,t,$85.00
241032,2016-02-08,t,$85.00
241032,2016-02-09,t,$85.00
241032,2016-02-10,t,$85.00
241032,2016-02-11,f,
241032,2016-02-12,f,
241032,2016-02-13,f,
241032,2016-02-14,t,$85.00
241032,2016-02-15,t,$85.00
241032,2016-02-16,t,$85.00
241032,2016-02-17,t,$85.00
241032,2016-02-18,t,$85.00
241032,2016-02-19,t,$85.00
241032,2016-02-20,t,$85.00
241032,2016-02-21,t,$85.00
241032,2016-02-22,t,$85.00
241032,2016-02-23,t,$85.00
241032,2016-02-24,t,$85.00
241032,2016-02-25,t,$85.00
241032,2016-02-26,t,$85.00
241032,2016-02-27,t,$85.00
241032,2016-02-28,t,$85.00
241032,2016-02-29,t,$85.00
241032,2016-03-01,t,$85.00
241032,2016-03-02,t,$85.00
241032,2016-03-03,t,$85.00
241032,2016-03-04,t,$85.00
241032,2016-03-05,t,$85.00
241032,2016-03-06,t,$85.00
241032,2016-03-07,t,$85.00
241032,2016-03-08,t,$85.00
241032,2016-03-09,t,$85.00
241032,2016-03-10,t,$85.00
241032,2016-03-11,t,$85.00
241032,2016-03-12,t,$85.00
241032,2016-03-13,t,$85.00
241032,2016-03-14,t,$85.00
241032,2016-03-15,t,$85.00
241032,2016-03-16,t,$85.00
241032,2016-03-17,t,$85.00
241032,2016-03-18,t,$85.00
241032,2016-03-19,t,$85.00
241032,2016-03-20,t,$85.00
241032,2016-03-21,t,$85.00
241032,2016-03-22,t,$85.00
241032,2016-03-23,t,$85.00
241032,2016-03-24,t,$85.00
241032,2016-03-25,t,$85.00
241032,2016-03-26,t,$85.00
241032,2016-03-27,t,$85.00
241032,2016-03-28,t,$85.00
241032,2016-03-29,t,$85.00
241032,2016-03-30,t,$85.00
241032,2016-03-31,t,$85.00
241032,2016-04-01,t,$85.00
241032,2016-04-02,t,$85.00
241032,2016-04-03,t,$85.00
241032,2016-04-04,t,$85.00
241032,2016-04-05,t,$85.00
241032,2016-04-06,t,$85.00
241032,2016-04-07,t,$85.00
241032,2016-04-08,t,$85.00
241032,2016-04-09,t,$85.00
241032,2016-04-10,t,$85.00
241032,2016-04-11,t,$85.00
241032,2016-04-12,t,$85.00
241032,2016-04-13,t,$85.00
241032,2016-04-14,t,$85.00
241032,2016-04-15,t,$85.00
241032,2016-04-16,t,$85.00
241032,2016-04-17,t,$85.00
241032,2016-04-18,t,$85.00
241032,2016-04-19,t,$85.00
241032,2016-04-20,t,$85.00
241032,2016-04-21,t,$85.00
241032,2016-04-22,t,$85.00
241032,2016-04-23,t,$85.00
241032,2016-04-24,t,$85.00
241032,2016-04-25,t,$85.00
241032,2016-04-26,t,$85.00
241032,2016-04-27,t,$85.00
241032,2016-04-28,t,$85.00
241032,2016-04-29,t,$85.00
241032,2016-04-30,t,$85.00
241032,2016-05-01,t,$85.00
241032,2016-05-02,t,$85.00
241032,2016-05-03,t,$85.00
241032,2016-05-04,t,$85.00
241032,2016-05-05,t,$85.00
241032,2016-05-06,t,$85.00
241032,2016-05-07,t,$85.00
241032,2016-05-08,t,$85.00
241032,2016-05-09,t,$85.00
241032,2016-05-10,t,$85.00
241032,2016-05-11,t,$85.00
241032,2016-05-12,t,$85.00
241032,2016-05-13,t,$85.00
241032,2016-05-14,t,$85.00
241032,2016-05-15,t,$85.00
241032,2016-05-16,t,$85.00
241032,2016-05-17,t,$85.00
241032,2016-05-18,t,$85.00
241032,2016-05-19,t,$85.00
241032,2016-05-20,t,$85.00
241032,2016-05-21,t,$85.00
241032,2016-05-22,t,$85.00
241032,2016-05-23,t,$85.00
241032,2016-05-24,t,$85.00
241032,2016-05-25,t,$85.00
241032,2016-05-26,t,$85.00
241032,2016-05-27,t,$85.00
241032,2016-05-28,t,$85.00
241032,2016-05-29,t,$85.00
241032,2016-05-30,t,$85.00
241032,2016-05-31,t,$85.00
